Tool,Tính n?ng,Flow,End-user,T?n su?t s? d?ng tính n?ng,M?c ?? quan tr?ng c?a tính n?ng,Các tool khác c?n s? d?ng song song khi th?c hi?n thao tác này,C?n c?i thi?n,Tính n?ng hi?n t?i c?n b? sung,Final decision
Hiring,T?o request tuy?n d?ng,Hiring manager or TA leader t?o request tuy?n d?ng,Hiring Manager/TA,Daily,Must Keep,Google sheet: L?u gi? các request tuy?n d?ng,S? d?ng ch?c n?ng l?c th?i gian các request tuy?n d?ng còn sai,,Gi?
Hiring,T?o request tuy?n d?ng,"Khi t?o request tuy?n d?ng kèm JD c? th?, ?? ch? ?? public, job s? lên site seta career ?? post job",TA,Daily,Must Keep,"Post job lên m?ng xã h?i: Các trang tuy?n d?ng m?t phí, linkedin,Fb,...",,,Gi?
Hiring,"Upload CV lên h? th?ng, import d? li?u c? ??u vào, export d? li?u và upload ??ng lo?t cv lên h? th?ng","Dùng AI ?? upload cv v?i các tr??ng thông tin c? b?n, kèm cv",TA,Daily,Must Keep,"Google Sheet: L?u gi? data ?ng viên, update status ?ng viên, HR contact","Hi?n t?i v?n ch?a ???c công ty phê duy?t chi phí c?p openAI key ?? AI ??c cv nhanh h?n. Chi phí 5$ cho 1200 CV. Có ?? xu?t ch? H?ng nh?ng process ph?n k? toán ch?a ?c duy?t. Cái này r?t c?n, vì tool hiring r?t c?n cái này ?? ti?t ki?m th?i gian nh?p d? li?u thông tin ?ng viên",C?n thêm ph?n l?c ?ng viên theo các tr??ng s? ?i?n tho?i và email giúp tìm ?ng viên d? h?n,Gi?
Hiring,Talent pool,L?u tr? data ?ng viên và t?o các talent pool ?? ph?c v? nhu c?u tuy?n d?ng trong t??ng lai,HR,Daily,Must Keep,,,,Gi?
Hiring,Talent pool,AI g?i ý các CV phù h?p v?i các job ?ang tuy?n,HR,Daily,Must Keep,"Google form: l?u tr? data ?ánh giá sau ph?ng v?n
Google sheet: copy và paste d? li?u ?ánh giá sau ph?ng v?n",,,Gi?
Hiring,Th?c hi?n quy trình tuy?n d?ng t? ?ng viên apply --> offer,"L?u tr? thông tin v? các vòng ph?ng v?n, k?t qu? ph?ng v?n",HR,Daily,Must Keep,"Google Sheet: L?u gi? data ?ng viên, update status ?ng viên, HR contact",,,Gi?
Hiring,Interview,"G?i mail, h?n l?ch ph?ng v?n, book phòng h?p",HR,Daily,Must Keep,"Google Sheet: L?u gi? data ?ng viên, update status ?ng viên, HR contact",,,Gi?
Hiring,L?ch ph?ng v?n,Hi?n th? các cu?c interview ?ã và ?ang setup,HR,Daily,Must Keep,Google Calendar,,,Gi?
Hiring,Báo cáo qu?n tr?,Báo cáo tuy?n d?ng,HR,Weekly,Must Keep,,"Hi?n t?i ch?a có 1 báo cáo nào hoàn ch?nh v? ph?n này.
Tool ?ang có count d? li?u ch?a chu?n. C?n làm l?i ?? phù h?p v?i nhu c?u h?n. ",,S?a
Hiring,"Setting thêm d? án, thêm talent pool, set up quy?n cho nhân s?,...",Cài ??t ban ??u,HR,Daily,Must Keep,,,,Gi?
Hiring,Web Crawling,Giúp cho HR tìm ki?m thêm nhi?u ?ng viên (ch? y?u là Likendin),HR,Daily,Must Keep,Các tool ngoài ?? tìm ki?m ?ng viên. Tuy nhiên ch?c này v?n c?n giúp HR ?a ??ng các ngu?n tìm ?ng viên,,,Gi?
Hiring,Onboard ?ng viên,C?n l?y data ??u vào t? Hiring tool: ?ng viên status là Offered s? ???c chuy?n qua EMS ?? làm th? t?c onboard,,,,,,,Thêm m?i
EMS,Onboard nhân s?,"T?o account và sync v?i timesheet, review, audit
??ng th?i thông báo t?i Teams c?a IT ?? IT approve","HR
IT",Weekly,Cross-System Integration Issue,"Trong tr??ng h?p sync data b? l?i, c?n nh?p l?i 3 l?n manual trên Timesheet, Review, audit","call webhook t?i các app khác th??ng xuyên b? l?i, gây b?t ti?n cho TA",,S?a
EMS,Onboard nhân s?,Thông báo t?i các stakeholder ?? th?c hi?n các task hoàn thi?n th? t?c onboard cho nhân s?,"các stakeholder liên quan t?i vi?c onboard 1 nhân s? (PM, IT, ...)",Weekly,Hidden Manual Work,Jira: dùng ?? t?o request t?i IT v? vi?c chu?n b? máy cho nhân s?,,C?n b? sung tính n?ng assign task cho các stakeholder khi có 1 nhân s? onbaord,S?a
EMS,Qu?n lý profile nhân s?,"Qu?n lý toàn b? thông tin nhân s?: thông tin cá nhân, kinh nghi?m làm vi?c, tech stack, ...
Export CV theo chu?n format công ty","HR
Employee
L&D",Monthly,Must Keep,"Google docs: HR dùng ?? t?o template CV SETA khi nhân s? c?n
Microsoft form: K? toán, HR v?n dùng file response c?a microsoft form ?? l?y data nhân s? m?i onboard: ngày sinh nh?t, ngày vào công ty, làm h?p ??ng, thông tin Mã s? thu?, ...
Google sheet: Team tuy?n d?ng dùng ?? l?u tr? thông tin ngày onboard, m?c l??ng offer, data c? v? CV, thông tin ph?ng v?n, ...",,"C?n tính n?ng yêu c?u employee update profile, CV trên EMS ??nh k? (m?i 2 tháng, m?i quý, ...)
C?n dùng 1 ngu?n duy nh?t ?? ??m b?o gi?m effort và ??ng nh?t d? li?u",S?a
EMS,Qu?n lý danh m?c Account-Project,"Theo dõi danh sách account, project hi?n có c?a công ty
Dashboard t?ng account và project","BOD
CDO, CTO
PM
PMO",Daily,Must Fix,"Google sheet: l?u tr? r?i r?c, không ??y ?? và không up-to-date","Thông tin v? nhân s? trong d? án, effort c?a nhân s? không ???c update th??ng xuyên","C?n dashboard theo dõi t?ng th? và qu?n lý toàn b? account/project c?a công ty
C?n các tính n?ng xu?t báo cáo ph?c v? PM, CDO",Thêm m?i
EMS,"Qu?n lý danh sách nhân s? thu?c Account/Project, effort allocation",Theo dõi t?ng effort và phân b? effort c?a nhân s? trong các d? án,"BOD
HR Dept
CDO, CTO
PM
PMO",Daily,Must Fix,"Google sheet: l?u tr? r?i r?c, không ??y ?? và không up-to-date",Hi?n t?i ?? theo dõi effort c?a nhân s? c?n vào c? th? t?ng account/project nhân s? ?ang tham gia,"C?n có b?ng theo dõi t?ng th? toàn công ty v?: danh sách d? án ?ang tham gia, t?ng và phân b? effort
C?n tính n?ng xu?t báo cáo ph?c v? CPO",Thêm m?i
EMS,T?o và qu?n lý Template h?p ??ng,T?o các template h?p ??ng,HR,Daily,Hidden Manual Work,"Word, Excel ?? mail merge",,,Gi?
