tenant_id,graph_task_id,plan_id,bucket_id,title,percent_complete,priority,due_date,assignee_ids,created_by,created_at_graph,last_modified_by,last_modified_at_graph,etag,raw,synced_at,soft_deleted_at
a1b2c3d4-e5f6-7890-abcd-ef1234567890,e02792d5f8ff40cc80e0fc9d4241,0103059d9927460bb9e77fa8f06f,174b7b4fccec4276b353959374a5,Review AWS infrastructure architecture and resource allocation,0,1,2026-06-02T07:00:00.000Z,"{98138dfd-a67a-414f-aaaa-84c1a9988b1b,e2785795-4a3e-4e76-88d9-bb7e6ce77bfd,75c502c2-5855-4f87-8049-4e2481ffa169}",b2d0da32-671a-4b0e-a284-317936e34cfa,2026-03-29T07:00:00.000Z,b2d0da32-671a-4b0e-a284-317936e34cfa,2026-03-29T07:00:00.000Z,"W/""JzEtZTAyNzkyZDVmOGZmNDBjCg==""","{""@odata.context"":""https://graph.microsoft.com/v1.0/$metadata#planner/tasks/$entity"",""id"":""e02792d5f8ff40cc80e0fc9d4241"",""planId"":""0103059d9927460bb9e77fa8f06f"",""bucketId"":""174b7b4fccec4276b353959374a5"",""title"":""Review AWS infrastructure architecture and resource allocation"",""orderHint"":""651883!"",""assigneePriority"":""35269!"",""percentComplete"":0,""priority"":1,""startDateTime"":null,""dueDateTime"":""2026-06-02T07:00:00.000Z"",""createdDateTime"":""2026-03-29T07:00:00.000Z"",""completedDateTime"":null,""hasDescription"":true,""previewType"":""description"",""referenceCount"":0,""checklistItemCount"":4,""activeChecklistItemCount"":4,""conversationThreadId"":null,""createdBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""completedBy"":null,""assignments"":{""98138dfd-a67a-414f-aaaa-84c1a9988b1b"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""51700!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""e2785795-4a3e-4e76-88d9-bb7e6ce77bfd"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""53019!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""75c502c2-5855-4f87-8049-4e2481ffa169"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""36924!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""}},""appliedCategories"":{""category1"":false,""category2"":false,""category3"":false,""category4"":false,""category5"":false,""category6"":false},""@odata.etag"":""W/\""JzEtZTAyNzkyZDVmOGZmNDBjCg==\""""}",2026-05-19T07:00:00+00:00,
a1b2c3d4-e5f6-7890-abcd-ef1234567890,9a6e6402f5a54315b2f385dcdc7d,0103059d9927460bb9e77fa8f06f,a8855a7bdd644feebeb11374b74f,Audit cloud infrastructure costs and optimize spending,30,1,2026-06-09T07:00:00.000Z,"{e2785795-4a3e-4e76-88d9-bb7e6ce77bfd,75c502c2-5855-4f87-8049-4e2481ffa169,c7b6be19-561a-40f8-b3c0-0c5fd54e979b}",b2d0da32-671a-4b0e-a284-317936e34cfa,2026-03-25T07:00:00.000Z,b2d0da32-671a-4b0e-a284-317936e34cfa,2026-03-25T07:00:00.000Z,"W/""JzEtOWE2ZTY0MDJmNWE1NDMxCg==""","{""@odata.context"":""https://graph.microsoft.com/v1.0/$metadata#planner/tasks/$entity"",""id"":""9a6e6402f5a54315b2f385dcdc7d"",""planId"":""0103059d9927460bb9e77fa8f06f"",""bucketId"":""a8855a7bdd644feebeb11374b74f"",""title"":""Audit cloud infrastructure costs and optimize spending"",""orderHint"":""831892!"",""assigneePriority"":""92714!"",""percentComplete"":30,""priority"":1,""startDateTime"":null,""dueDateTime"":""2026-06-09T07:00:00.000Z"",""createdDateTime"":""2026-03-25T07:00:00.000Z"",""completedDateTime"":null,""hasDescription"":true,""previewType"":""description"",""referenceCount"":0,""checklistItemCount"":4,""activeChecklistItemCount"":4,""conversationThreadId"":null,""createdBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""completedBy"":null,""assignments"":{""e2785795-4a3e-4e76-88d9-bb7e6ce77bfd"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""28406!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""75c502c2-5855-4f87-8049-4e2481ffa169"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""85138!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""c7b6be19-561a-40f8-b3c0-0c5fd54e979b"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""67894!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""}},""appliedCategories"":{""category1"":false,""category2"":false,""category3"":false,""category4"":false,""category5"":false,""category6"":false},""@odata.etag"":""W/\""JzEtOWE2ZTY0MDJmNWE1NDMxCg==\""""}",2026-05-19T07:00:00+00:00,
a1b2c3d4-e5f6-7890-abcd-ef1234567890,e77ab83098a640bc9db719b6c34e,0103059d9927460bb9e77fa8f06f,a8855a7bdd644feebeb11374b74f,Review Kubernetes cluster configuration and node pools,50,1,2026-05-29T07:00:00.000Z,"{98138dfd-a67a-414f-aaaa-84c1a9988b1b,75c502c2-5855-4f87-8049-4e2481ffa169}",b2d0da32-671a-4b0e-a284-317936e34cfa,2026-04-21T07:00:00.000Z,b2d0da32-671a-4b0e-a284-317936e34cfa,2026-04-21T07:00:00.000Z,"W/""JzEtZTc3YWI4MzA5OGE2NDBiCg==""","{""@odata.context"":""https://graph.microsoft.com/v1.0/$metadata#planner/tasks/$entity"",""id"":""e77ab83098a640bc9db719b6c34e"",""planId"":""0103059d9927460bb9e77fa8f06f"",""bucketId"":""a8855a7bdd644feebeb11374b74f"",""title"":""Review Kubernetes cluster configuration and node pools"",""orderHint"":""693815!"",""assigneePriority"":""11020!"",""percentComplete"":50,""priority"":1,""startDateTime"":null,""dueDateTime"":""2026-05-29T07:00:00.000Z"",""createdDateTime"":""2026-04-21T07:00:00.000Z"",""completedDateTime"":null,""hasDescription"":true,""previewType"":""description"",""referenceCount"":0,""checklistItemCount"":4,""activeChecklistItemCount"":4,""conversationThreadId"":null,""createdBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""completedBy"":null,""assignments"":{""98138dfd-a67a-414f-aaaa-84c1a9988b1b"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""67886!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""75c502c2-5855-4f87-8049-4e2481ffa169"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""62772!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""}},""appliedCategories"":{""category1"":false,""category2"":false,""category3"":false,""category4"":false,""category5"":false,""category6"":false},""@odata.etag"":""W/\""JzEtZTc3YWI4MzA5OGE2NDBiCg==\""""}",2026-05-19T07:00:00+00:00,
a1b2c3d4-e5f6-7890-abcd-ef1234567890,8b75e44a07ef4f479f56d98e89b5,0103059d9927460bb9e77fa8f06f,174b7b4fccec4276b353959374a5,Infrastructure security vulnerability assessment,0,1,2026-05-26T07:00:00.000Z,"{75c502c2-5855-4f87-8049-4e2481ffa169,c7b6be19-561a-40f8-b3c0-0c5fd54e979b,a92d8c73-ef27-41bd-99b3-905f5adb256f}",b2d0da32-671a-4b0e-a284-317936e34cfa,2026-05-19T07:00:00.000Z,b2d0da32-671a-4b0e-a284-317936e34cfa,2026-05-19T07:00:00.000Z,"W/""JzEtOGI3NWU0NGEwN2VmNGY0Cg==""","{""@odata.context"":""https://graph.microsoft.com/v1.0/$metadata#planner/tasks/$entity"",""id"":""8b75e44a07ef4f479f56d98e89b5"",""planId"":""0103059d9927460bb9e77fa8f06f"",""bucketId"":""174b7b4fccec4276b353959374a5"",""title"":""Infrastructure security vulnerability assessment"",""orderHint"":""264656!"",""assigneePriority"":""53151!"",""percentComplete"":0,""priority"":1,""startDateTime"":null,""dueDateTime"":""2026-05-26T07:00:00.000Z"",""createdDateTime"":""2026-05-19T07:00:00.000Z"",""completedDateTime"":null,""hasDescription"":true,""previewType"":""description"",""referenceCount"":0,""checklistItemCount"":4,""activeChecklistItemCount"":4,""conversationThreadId"":null,""createdBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""completedBy"":null,""assignments"":{""75c502c2-5855-4f87-8049-4e2481ffa169"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""41046!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""c7b6be19-561a-40f8-b3c0-0c5fd54e979b"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""27347!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""a92d8c73-ef27-41bd-99b3-905f5adb256f"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""97267!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""}},""appliedCategories"":{""category1"":false,""category2"":false,""category3"":false,""category4"":false,""category5"":false,""category6"":false},""@odata.etag"":""W/\""JzEtOGI3NWU0NGEwN2VmNGY0Cg==\""""}",2026-05-19T07:00:00+00:00,
a1b2c3d4-e5f6-7890-abcd-ef1234567890,301102fcf44842ec9c2c1f6b3c5d,0103059d9927460bb9e77fa8f06f,a8855a7bdd644feebeb11374b74f,Review network infrastructure and firewall rules,20,2,2026-06-18T07:00:00.000Z,"{c7b6be19-561a-40f8-b3c0-0c5fd54e979b,3dadc4a4-539b-4682-9f2f-1c2d90c49a53}",b2d0da32-671a-4b0e-a284-317936e34cfa,2026-03-28T07:00:00.000Z,b2d0da32-671a-4b0e-a284-317936e34cfa,2026-03-28T07:00:00.000Z,"W/""JzEtMzAxMTAyZmNmNDQ4NDJlCg==""","{""@odata.context"":""https://graph.microsoft.com/v1.0/$metadata#planner/tasks/$entity"",""id"":""301102fcf44842ec9c2c1f6b3c5d"",""planId"":""0103059d9927460bb9e77fa8f06f"",""bucketId"":""a8855a7bdd644feebeb11374b74f"",""title"":""Review network infrastructure and firewall rules"",""orderHint"":""567068!"",""assigneePriority"":""97036!"",""percentComplete"":20,""priority"":2,""startDateTime"":null,""dueDateTime"":""2026-06-18T07:00:00.000Z"",""createdDateTime"":""2026-03-28T07:00:00.000Z"",""completedDateTime"":null,""hasDescription"":true,""previewType"":""description"",""referenceCount"":0,""checklistItemCount"":4,""activeChecklistItemCount"":4,""conversationThreadId"":null,""createdBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""completedBy"":null,""assignments"":{""c7b6be19-561a-40f8-b3c0-0c5fd54e979b"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""30815!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""3dadc4a4-539b-4682-9f2f-1c2d90c49a53"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""57543!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""}},""appliedCategories"":{""category1"":false,""category2"":false,""category3"":false,""category4"":false,""category5"":false,""category6"":false},""@odata.etag"":""W/\""JzEtMzAxMTAyZmNmNDQ4NDJlCg==\""""}",2026-05-19T07:00:00+00:00,
a1b2c3d4-e5f6-7890-abcd-ef1234567890,f5588a40f64246d4b76e98a1888f,0103059d9927460bb9e77fa8f06f,174b7b4fccec4276b353959374a5,Database infrastructure review and performance optimization,0,2,2026-06-16T07:00:00.000Z,"{50138186-c833-44b7-a712-3590fdc543e1,a956349b-9cec-41a5-a2f1-3fb7ddfe5899}",b2d0da32-671a-4b0e-a284-317936e34cfa,2026-03-31T07:00:00.000Z,b2d0da32-671a-4b0e-a284-317936e34cfa,2026-03-31T07:00:00.000Z,"W/""JzEtZjU1ODhhNDBmNjQyNDZkCg==""","{""@odata.context"":""https://graph.microsoft.com/v1.0/$metadata#planner/tasks/$entity"",""id"":""f5588a40f64246d4b76e98a1888f"",""planId"":""0103059d9927460bb9e77fa8f06f"",""bucketId"":""174b7b4fccec4276b353959374a5"",""title"":""Database infrastructure review and performance optimization"",""orderHint"":""236514!"",""assigneePriority"":""35728!"",""percentComplete"":0,""priority"":2,""startDateTime"":null,""dueDateTime"":""2026-06-16T07:00:00.000Z"",""createdDateTime"":""2026-03-31T07:00:00.000Z"",""completedDateTime"":null,""hasDescription"":true,""previewType"":""description"",""referenceCount"":0,""checklistItemCount"":4,""activeChecklistItemCount"":4,""conversationThreadId"":null,""createdBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""completedBy"":null,""assignments"":{""50138186-c833-44b7-a712-3590fdc543e1"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""79903!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""a956349b-9cec-41a5-a2f1-3fb7ddfe5899"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""5376!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""}},""appliedCategories"":{""category1"":false,""category2"":false,""category3"":false,""category4"":false,""category5"":false,""category6"":false},""@odata.etag"":""W/\""JzEtZjU1ODhhNDBmNjQyNDZkCg==\""""}",2026-05-19T07:00:00+00:00,
a1b2c3d4-e5f6-7890-abcd-ef1234567890,c6612f3e31bc4a25990ef6a2460c,0103059d9927460bb9e77fa8f06f,1630327cc376446caa74f2fe14d5,Review CI/CD infrastructure pipeline and tooling,60,2,2026-06-02T07:00:00.000Z,"{e2785795-4a3e-4e76-88d9-bb7e6ce77bfd,af9ec7fd-4548-4e84-bb6a-2644b814a1c2}",b2d0da32-671a-4b0e-a284-317936e34cfa,2026-04-07T07:00:00.000Z,b2d0da32-671a-4b0e-a284-317936e34cfa,2026-04-07T07:00:00.000Z,"W/""JzEtYzY2MTJmM2UzMWJjNGEyCg==""","{""@odata.context"":""https://graph.microsoft.com/v1.0/$metadata#planner/tasks/$entity"",""id"":""c6612f3e31bc4a25990ef6a2460c"",""planId"":""0103059d9927460bb9e77fa8f06f"",""bucketId"":""1630327cc376446caa74f2fe14d5"",""title"":""Review CI/CD infrastructure pipeline and tooling"",""orderHint"":""778551!"",""assigneePriority"":""7315!"",""percentComplete"":60,""priority"":2,""startDateTime"":null,""dueDateTime"":""2026-06-02T07:00:00.000Z"",""createdDateTime"":""2026-04-07T07:00:00.000Z"",""completedDateTime"":null,""hasDescription"":true,""previewType"":""description"",""referenceCount"":0,""checklistItemCount"":4,""activeChecklistItemCount"":4,""conversationThreadId"":null,""createdBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""completedBy"":null,""assignments"":{""e2785795-4a3e-4e76-88d9-bb7e6ce77bfd"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""81579!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""af9ec7fd-4548-4e84-bb6a-2644b814a1c2"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""1941!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""}},""appliedCategories"":{""category1"":false,""category2"":false,""category3"":false,""category4"":false,""category5"":false,""category6"":false},""@odata.etag"":""W/\""JzEtYzY2MTJmM2UzMWJjNGEyCg==\""""}",2026-05-19T07:00:00+00:00,
a1b2c3d4-e5f6-7890-abcd-ef1234567890,0b1bedd169ab47eaaec9ae04831e,0103059d9927460bb9e77fa8f06f,174b7b4fccec4276b353959374a5,Cloud storage infrastructure audit and lifecycle policies,0,3,2026-06-23T07:00:00.000Z,"{98138dfd-a67a-414f-aaaa-84c1a9988b1b,e2785795-4a3e-4e76-88d9-bb7e6ce77bfd}",b2d0da32-671a-4b0e-a284-317936e34cfa,2026-04-26T07:00:00.000Z,b2d0da32-671a-4b0e-a284-317936e34cfa,2026-04-26T07:00:00.000Z,"W/""JzEtMGIxYmVkZDE2OWFiNDdlCg==""","{""@odata.context"":""https://graph.microsoft.com/v1.0/$metadata#planner/tasks/$entity"",""id"":""0b1bedd169ab47eaaec9ae04831e"",""planId"":""0103059d9927460bb9e77fa8f06f"",""bucketId"":""174b7b4fccec4276b353959374a5"",""title"":""Cloud storage infrastructure audit and lifecycle policies"",""orderHint"":""821957!"",""assigneePriority"":""29622!"",""percentComplete"":0,""priority"":3,""startDateTime"":null,""dueDateTime"":""2026-06-23T07:00:00.000Z"",""createdDateTime"":""2026-04-26T07:00:00.000Z"",""completedDateTime"":null,""hasDescription"":true,""previewType"":""description"",""referenceCount"":0,""checklistItemCount"":4,""activeChecklistItemCount"":4,""conversationThreadId"":null,""createdBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""completedBy"":null,""assignments"":{""98138dfd-a67a-414f-aaaa-84c1a9988b1b"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""25383!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""e2785795-4a3e-4e76-88d9-bb7e6ce77bfd"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""35928!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""}},""appliedCategories"":{""category1"":false,""category2"":false,""category3"":false,""category4"":false,""category5"":false,""category6"":false},""@odata.etag"":""W/\""JzEtMGIxYmVkZDE2OWFiNDdlCg==\""""}",2026-05-19T07:00:00+00:00,
a1b2c3d4-e5f6-7890-abcd-ef1234567890,a3938e8441e14da2b923d1b934a6,0103059d9927460bb9e77fa8f06f,a8855a7bdd644feebeb11374b74f,Review load balancer configuration and health checks,40,2,2026-06-09T07:00:00.000Z,{a92d8c73-ef27-41bd-99b3-905f5adb256f},b2d0da32-671a-4b0e-a284-317936e34cfa,2026-05-17T07:00:00.000Z,b2d0da32-671a-4b0e-a284-317936e34cfa,2026-05-17T07:00:00.000Z,"W/""JzEtYTM5MzhlODQ0MWUxNGRhCg==""","{""@odata.context"":""https://graph.microsoft.com/v1.0/$metadata#planner/tasks/$entity"",""id"":""a3938e8441e14da2b923d1b934a6"",""planId"":""0103059d9927460bb9e77fa8f06f"",""bucketId"":""a8855a7bdd644feebeb11374b74f"",""title"":""Review load balancer configuration and health checks"",""orderHint"":""62376!"",""assigneePriority"":""48734!"",""percentComplete"":40,""priority"":2,""startDateTime"":null,""dueDateTime"":""2026-06-09T07:00:00.000Z"",""createdDateTime"":""2026-05-17T07:00:00.000Z"",""completedDateTime"":null,""hasDescription"":true,""previewType"":""description"",""referenceCount"":0,""checklistItemCount"":4,""activeChecklistItemCount"":4,""conversationThreadId"":null,""createdBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""completedBy"":null,""assignments"":{""a92d8c73-ef27-41bd-99b3-905f5adb256f"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""68314!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""}},""appliedCategories"":{""category1"":false,""category2"":false,""category3"":false,""category4"":false,""category5"":false,""category6"":false},""@odata.etag"":""W/\""JzEtYTM5MzhlODQ0MWUxNGRhCg==\""""}",2026-05-19T07:00:00+00:00,
a1b2c3d4-e5f6-7890-abcd-ef1234567890,5fbc640f466746cb9fac4b59201b,0103059d9927460bb9e77fa8f06f,a8855a7bdd644feebeb11374b74f,Infrastructure disaster recovery plan review and testing,10,1,2026-07-03T07:00:00.000Z,"{b2d0da32-671a-4b0e-a284-317936e34cfa,98138dfd-a67a-414f-aaaa-84c1a9988b1b,75c502c2-5855-4f87-8049-4e2481ffa169}",b2d0da32-671a-4b0e-a284-317936e34cfa,2026-05-07T07:00:00.000Z,b2d0da32-671a-4b0e-a284-317936e34cfa,2026-05-07T07:00:00.000Z,"W/""JzEtNWZiYzY0MGY0NjY3NDZjCg==""","{""@odata.context"":""https://graph.microsoft.com/v1.0/$metadata#planner/tasks/$entity"",""id"":""5fbc640f466746cb9fac4b59201b"",""planId"":""0103059d9927460bb9e77fa8f06f"",""bucketId"":""a8855a7bdd644feebeb11374b74f"",""title"":""Infrastructure disaster recovery plan review and testing"",""orderHint"":""124435!"",""assigneePriority"":""73530!"",""percentComplete"":10,""priority"":1,""startDateTime"":null,""dueDateTime"":""2026-07-03T07:00:00.000Z"",""createdDateTime"":""2026-05-07T07:00:00.000Z"",""completedDateTime"":null,""hasDescription"":true,""previewType"":""description"",""referenceCount"":0,""checklistItemCount"":4,""activeChecklistItemCount"":4,""conversationThreadId"":null,""createdBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""completedBy"":null,""assignments"":{""b2d0da32-671a-4b0e-a284-317936e34cfa"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""15395!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""98138dfd-a67a-414f-aaaa-84c1a9988b1b"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""96562!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""},""75c502c2-5855-4f87-8049-4e2481ffa169"":{""@odata.type"":""#microsoft.graph.plannerAssignment"",""orderHint"":""57296!"",""assignedBy"":{""@odata.type"":""#microsoft.graph.identitySet"",""user"":{""id"":""b2d0da32-671a-4b0e-a284-317936e34cfa""}},""assignedDateTime"":""2026-05-19T07:00:00+00:00""}},""appliedCategories"":{""category1"":false,""category2"":false,""category3"":false,""category4"":false,""category5"":false,""category6"":false},""@odata.etag"":""W/\""JzEtNWZiYzY0MGY0NjY3NDZjCg==\""""}",2026-05-19T07:00:00+00:00,
